invoice_no,issue_date,due_date,counterparty,net,vat,status
INV-1001,2025-09-28,2025-10-12,Client A,196850,53150,paid
INV-1002,2025-10-03,2025-10-18,Client B,137800,37200,issued
INV-1003,2025-10-13,2025-10-28,Client C,102360,27640,issued
INV-1004,2025-10-20,2025-11-04,Client D,85000,22950,issued
INV-1005,2025-10-25,2025-11-09,Client E,120000,32400,issued
INV-1006,2025-11-01,2025-11-16,Client F,64000,17280,issued
INV-1007,2025-11-03,2025-11-18,Client G,210000,56700,overdue
INV-1008,2025-11-05,2025-11-20,Client H,99000,26730,issued
INV-1009,2025-11-07,2025-11-22,Client A,55000,14850,issued
INV-1010,2025-11-10,2025-11-25,Client B,180000,48600,issued
INV-1011,2025-11-12,2025-11-27,Client C,75000,20250,issued
INV-1012,2025-11-15,2025-11-30,Client D,132000,35640,issued
